Provider,NumClaims,NumUniqueBeneficiaries,InscClaimAmtReimbursed_Mean,InscClaimAmtReimbursed_Max,DeductibleAmtPaid_Mean,DeductibleAmtPaid_Max,IPAnnualReimbursementAmt_Mean,IPAnnualDeductibleAmt_Mean,OPAnnualReimbursementAmt_Mean,OPAnnualDeductibleAmt_Mean,ClaimDuration_Mean,ClaimDuration_Max,proc_count_Mean,proc_count_Max,diag_count_Mean,diag_count_Max,Age_Mean,RenalDiseaseIndicator_Sum,HasAttendingPhysician_Sum,HasOperatingPhysician_Sum,HasOtherPhysician_Sum,UniquePhysicianCount_Sum,SamePhysicianAllRoles_Sum,IsDeceased_Sum,ChronicCond_Alzheimer_Sum,ChronicCond_Heartfailure_Sum,ChronicCond_KidneyDisease_Sum,ChronicCond_Cancer_Sum,ChronicCond_ObstrPulmonary_Sum,ChronicCond_Depression_Sum,ChronicCond_Diabetes_Sum,ChronicCond_IschemicHeart_Sum,ChronicCond_Osteoporasis_Sum,ChronicCond_rheumatoidarthritis_Sum,ChronicCond_stroke_Sum,ClaimsPerBeneficiary,ReimbursementToDeductibleRatio,DeceasedPatientRate
PRV51001,25,24,4185.6,42000,213.6,1068.0,17606.0,897.12,2615.2,463.92,1.44,14,0.12,2,3.2,9,78.28,8,25,5,10,32,7,0,15,19,17,5,10,9,21,23,6,8,6,1.0416666666666667,19.504193849021437,0.0
PRV51003,132,117,4588.409090909091,57000,502.1666666666667,1068.0,7568.181818181818,931.4242424242424,2678.181818181818,737.1212121212121,3.6742424242424243,27,0.36363636363636365,2,5.25,10,69.5530303030303,29,132,45,25,156,42,1,56,80,64,10,41,54,100,112,33,38,12,1.1282051282051282,9.119064109127043,0.008547008547008548
PRV51004,149,138,350.13422818791946,3300,2.0805369127516777,100.0,4351.879194630873,434.9530201342282,2194.8993288590605,622.751677852349,1.429530201342282,20,0.0,0,2.5838926174496644,9,71.80536912751678,23,149,27,63,197,33,1,64,88,50,16,41,63,105,108,49,46,17,1.0797101449275361,113.66013071895425,0.007246376811594203
PRV51005,1165,495,241.1244635193133,4080,3.1759656652360513,200.0,3623.991416309013,379.16223175965666,2109.733905579399,636.3287553648069,1.088412017167382,20,0.0,0,2.5888412017167384,10,70.0,259,1163,222,478,1409,365,4,426,680,507,165,295,485,799,895,344,331,124,2.3535353535353534,57.74100719424462,0.00808080808080808
PRV51007,72,58,468.19444444444446,10000,45.333333333333336,1068.0,3050.0,445.0,1729.7222222222222,469.72222222222223,0.9583333333333334,20,0.013888888888888888,1,2.986111111111111,10,68.79166666666667,11,72,12,26,81,22,1,26,40,22,12,16,29,49,51,21,22,12,1.2413793103448276,10.104916067146283,0.017241379310344827
PRV51008,43,36,828.6046511627907,21000,53.86046511627907,1068.0,6592.093023255814,620.9302325581396,2570.4651162790697,616.046511627907,1.5348837209302326,20,0.046511627906976744,1,3.1627906976744184,10,75.04651162790698,10,43,6,17,54,10,0,17,25,14,9,9,12,30,33,11,6,2,1.1944444444444444,15.103857566765578,0.0
PRV51011,58,53,286.7241379310345,5000,23.586206896551722,1068.0,4414.827586206897,674.2758620689655,1399.3103448275863,366.7241379310345,0.5517241379310345,17,0.0,0,2.5344827586206895,9,73.84482758620689,12,58,12,21,79,7,1,25,37,25,4,21,31,41,44,20,16,2,1.0943396226415094,11.661991584852736,0.018867924528301886
PRV51012,48,31,351.875,3300,2.0833333333333335,100.0,6935.416666666667,839.9166666666666,3793.9583333333335,735.2083333333334,3.7083333333333335,20,0.0,0,2.5625,8,74.02083333333333,7,47,8,16,60,9,0,18,26,22,6,21,19,35,38,17,17,3,1.5483870967741935,114.12162162162161,0.0
PRV51013,46,44,323.4782608695652,1800,5.0,90.0,3635.6521739130435,593.304347826087,3226.521739130435,914.7826086956521,1.4565217391304348,20,0.0,0,2.5434782608695654,8,74.0,11,46,11,15,51,19,0,17,26,19,4,16,18,37,36,12,16,2,1.0454545454545454,53.91304347826087,0.0
PRV51014,30,25,349.3333333333333,3300,4.0,70.0,2786.3333333333335,427.2,1742.3333333333333,649.3333333333334,0.4666666666666667,9,0.0,0,3.6666666666666665,10,70.63333333333334,8,29,10,20,41,11,1,16,17,16,2,9,10,19,20,6,12,3,1.2,69.86666666666666,0.04
