Provider,IP_NumClaims,IP_NumBeneficiaries,IP_AvgReimbursement,IP_TotalReimbursement,IP_MaxReimbursement,IP_StdReimbursement,IP_MedianReimbursement,IP_AvgDeductible,IP_TotalDeductible,IP_AvgClaimDuration,IP_TotalClaimDuration,IP_MaxClaimDuration,IP_StdClaimDuration,IP_AvgAdmissionDuration,IP_TotalAdmissionDuration,IP_MaxAdmissionDuration,IP_StdAdmissionDuration,IP_NumAttendingPhysicians,IP_NumOperatingPhysicians,IP_NumOtherPhysicians,IP_ClaimsPerBeneficiary,IP_ReimbursementPerDay,IP_ReimbursementPerBeneficiary,IP_TotalPhysicians,IP_TotalUniqueDiagnoses,IP_TotalUniqueProcedures
PRV51001,5,5,19400.0,97000,42000,18352.11159512714,12000.0,1068.0,5340.0,5.0,25,14,5.385164807134505,5.0,25,14,5.385164807134505,4,2,1,1.0,3880.0,19400.0,7,36,3
PRV51003,62,53,9241.935483870968,573000,57000,8513.606243799273,7000.0,1068.0,66216.0,5.161290322580645,320,27,4.447115655347403,5.161290322580645,320,27,4.447115655347403,2,2,0,1.169811320754717,1790.625,10811.32075471698,4,418,39
PRV51007,3,3,6333.333333333333,19000,10000,3511.884584284246,6000.0,1068.0,3204.0,5.333333333333333,16,7,1.5275252316519468,5.333333333333333,16,7,1.5275252316519468,2,1,0,1.0,1187.5,6333.333333333333,3,22,1
PRV51008,2,2,12500.0,25000,21000,12020.815280171308,12500.0,1068.0,2136.0,4.0,8,5,1.4142135623730951,4.0,8,5,1.4142135623730951,2,2,0,1.0,3125.0,12500.0,4,15,2
PRV51011,1,1,5000.0,5000,5000,0.0,5000.0,1068.0,1068.0,5.0,5,5,0.0,5.0,5,5,0.0,1,0,0,1.0,1000.0,5000.0,1,8,0
PRV51021,29,23,9275.862068965518,269000,57000,10277.911654625932,7000.0,1068.0,30972.0,4.793103448275862,139,17,3.4576964911094414,4.758620689655173,138,17,3.429443649317242,7,7,1,1.2608695652173914,1949.2753623188405,11695.652173913044,15,218,18
PRV51023,9,9,6000.0,54000,13000,3741.657386773941,4000.0,1068.0,8544.0,3.5555555555555554,32,10,2.8771127502720115,3.5555555555555554,32,10,2.8771127502720115,4,4,1,1.0,1687.5,6000.0,9,72,5
PRV51024,9,9,6777.777777777777,61000,13000,3767.5515184857713,7000.0,1068.0,9612.0,4.333333333333333,39,10,3.122498999199199,4.333333333333333,39,10,3.122498999199199,1,1,1,1.0,1564.1025641025642,6777.777777777777,3,61,7
PRV51025,13,12,6615.384615384615,86000,17000,5252.593986759645,4000.0,1068.0,13884.0,7.0,91,28,7.302967433402215,7.0,91,28,7.302967433402215,2,2,0,1.0833333333333333,945.054945054945,7166.666666666667,4,98,11
PRV51030,82,71,8604.878048780487,705600,57000,8114.731344891162,6000.0,1068.0,86508.0,4.621951219512195,379,23,3.7569367739578765,4.621951219512195,379,23,3.7569367739578765,1,1,0,1.1549295774647887,1861.7414248021107,9938.028169014084,2,543,48
PRV51031,28,26,11750.0,329000,68000,13164.556792978468,7500.0,1068.0,29904.0,5.535714285714286,155,18,4.962691495378983,5.535714285714286,155,18,4.962691495378983,2,2,0,1.0769230769230769,2122.5806451612902,12653.846153846154,4,223,23
PRV51035,1,1,29000.0,29000,29000,0.0,29000.0,1068.0,1068.0,14.0,14,14,0.0,14.0,14,14,0.0,1,1,0,1.0,2071.4285714285716,29000.0,2,9,1
PRV51037,23,21,9304.347826086956,214000,23000,5849.901184936185,7000.0,1068.0,24564.0,4.521739130434782,104,17,4.1326808954236,4.565217391304348,105,17,4.099069594615584,1,1,0,1.0952380952380953,2038.095238095238,10190.47619047619,2,167,12
PRV51038,30,26,7653.333333333333,229600,17000,4210.637869060674,7000.0,1068.0,30972.0,4.033333333333333,121,24,4.2789245614171385,4.033333333333333,121,24,4.2789245614171385,2,2,1,1.1538461538461537,1897.5206611570247,8830.76923076923,5,199,14
PRV51040,9,8,7000.0,63000,21000,7681.145747868608,5000.0,1068.0,8544.0,10.555555555555555,95,33,11.94896555262328,10.555555555555555,95,33,11.94896555262328,4,3,2,1.125,663.1578947368421,7875.0,9,67,7
