Provider,OP_NumClaims,OP_NumBeneficiaries,OP_AvgReimbursement,OP_TotalReimbursement,OP_MaxReimbursement,OP_StdReimbursement,OP_MedianReimbursement,OP_AvgDeductible,OP_TotalDeductible,OP_AvgClaimDuration,OP_TotalClaimDuration,OP_MaxClaimDuration,OP_StdClaimDuration,OP_NumAttendingPhysicians,OP_NumOperatingPhysicians,OP_NumOtherPhysicians,OP_ClaimsPerBeneficiary,OP_ReimbursementPerDay,OP_ReimbursementPerBeneficiary,OP_TotalUniqueDiagnoses,OP_TotalUniqueProcedures
PRV51001,20,19,382.0,7640,1500,422.817616522899,150.0,0.0,0,0.55,11,9,2.0124611797498106,10,3,7,1.0526315789473684,694.5454545454545,402.10526315789474,43,0
PRV51003,70,66,466.7142857142857,32670,3300,821.3645793779573,90.0,1.0,70,2.357142857142857,165,20,6.043407509602687,44,5,22,1.0606060606060606,198.0,495.0,163,0
PRV51004,149,138,350.13422818791946,52170,3300,689.9637540197714,70.0,2.0805369127516777,310,1.429530201342282,213,20,4.783495037919234,38,19,26,1.0797101449275361,244.92957746478874,378.04347826086956,332,0
PRV51005,1165,495,241.1244635193133,280910,4080,491.556391867259,70.0,3.1759656652360513,3700,1.088412017167382,1268,20,4.1074374711292805,6,6,4,2.3535353535353534,221.5378548895899,567.4949494949495,1873,0
PRV51007,69,56,213.18840579710144,14710,3300,447.2316571506486,70.0,0.8695652173913043,60,0.7681159420289855,53,20,3.3831108532212313,8,4,7,1.2321428571428572,277.54716981132077,262.67857142857144,180,0
PRV51008,41,34,259.2682926829268,10630,1900,404.0383041488916,90.0,4.390243902439025,180,1.4146341463414633,58,20,4.483166346211668,8,3,5,1.2058823529411764,183.27586206896552,312.6470588235294,108,0
PRV51011,57,52,204.03508771929825,11630,1600,310.7873621322992,70.0,5.2631578947368425,300,0.47368421052631576,27,17,2.353608651456424,27,10,15,1.0961538461538463,430.74074074074076,223.65384615384616,128,0
PRV51012,48,31,351.875,16890,3300,707.8936578689371,60.0,2.0833333333333335,100,3.7083333333333335,178,20,7.237486143251596,14,3,13,1.5483870967741935,94.88764044943821,544.8387096774194,118,0
PRV51013,46,44,323.4782608695652,14880,1800,471.622341339171,90.0,5.0,230,1.4565217391304348,67,20,4.415661630248658,9,5,4,1.0454545454545454,222.08955223880596,338.1818181818182,111,0
PRV51014,30,25,349.3333333333333,10480,3300,822.984196996362,80.0,4.0,120,0.4666666666666667,14,9,1.6760654528683694,7,6,8,1.2,748.5714285714286,419.2,105,0
PRV51015,8,7,87.5,700,200,74.01737247816507,65.0,0.0,0,0.375,3,3,1.0606601717798212,3,1,4,1.1428571428571428,233.33333333333334,100.0,23,0
PRV51016,6,6,28.333333333333332,170,90,37.638632635454044,10.0,0.0,0,0.3333333333333333,2,2,0.816496580927726,3,1,0,1.0,85.0,28.333333333333332,21,0
PRV51017,515,420,277.126213592233,142720,3300,570.1818038894332,80.0,2.0388349514563107,1050,1.3572815533980582,699,20,4.521943943866221,113,46,69,1.2261904761904763,204.1773962804006,339.8095238095238,1012,2
PRV51021,228,187,350.13157894736844,79830,3300,631.2399379496628,85.0,2.280701754385965,520,1.644736842105263,375,20,5.089604021280873,67,23,41,1.2192513368983957,212.88,426.8983957219251,529,0
PRV51023,27,27,430.0,11610,2200,668.511549868581,70.0,2.962962962962963,80,3.7037037037037037,100,20,7.916947813271391,10,5,6,1.0,116.1,430.0,86,0
PRV51024,30,29,101.66666666666667,3050,400,116.68062313894262,60.0,3.0,90,0.8333333333333334,25,20,3.667972599203236,12,5,8,1.0344827586206897,122.0,105.17241379310344,71,0
PRV51025,74,66,437.1621621621622,32350,3300,810.343272890291,100.0,5.405405405405405,400,1.3243243243243243,98,20,4.684887121951565,34,13,20,1.121212121212121,330.1020408163265,490.1515151515151,195,0
PRV51026,76,56,261.05263157894734,19840,3300,668.7831316600191,65.0,4.473684210526316,340,1.0921052631578947,83,20,4.342587958284622,29,10,18,1.3571428571428572,239.03614457831324,354.2857142857143,164,0
PRV51027,53,44,563.0188679245283,29840,3300,1044.0446219937528,60.0,0.0,0,2.1320754716981134,113,20,5.8178694747273,10,6,5,1.2045454545454546,264.070796460177,678.1818181818181,122,0
PRV51029,93,79,329.6774193548387,30660,3300,618.3119580109661,80.0,1.7204301075268817,160,0.6989247311827957,65,20,3.263050540710264,38,10,17,1.1772151898734178,471.6923076923077,388.1012658227848,239,0
PRV51030,89,78,383.82022471910113,34160,3300,719.4308129252685,90.0,2.696629213483146,240,1.8876404494382022,168,20,5.5359120999475095,45,11,23,1.141025641025641,203.33333333333334,437.94871794871796,198,0
PRV51031,157,135,195.6687898089172,30720,2300,365.13129687220373,70.0,2.1656050955414012,340,1.3694267515923566,215,20,4.674380014016149,58,14,28,1.162962962962963,142.88372093023256,227.55555555555554,318,0
PRV51032,23,21,235.65217391304347,5420,2900,596.2063865273236,80.0,2.1739130434782608,50,0.9130434782608695,21,12,2.7454597806405077,10,4,8,1.0952380952380953,258.0952380952381,258.0952380952381,50,0
PRV51035,29,24,122.75862068965517,3560,700,162.9832715281834,60.0,12.413793103448276,360,1.8620689655172413,54,20,5.255773274158581,17,6,8,1.2083333333333333,65.92592592592592,148.33333333333334,60,0
PRV51036,278,131,269.3525179856115,74880,4400,579.1512632739048,70.0,5.071942446043166,1410,1.0503597122302157,292,20,4.002388710958205,5,3,4,2.122137404580153,256.43835616438355,571.6030534351145,591,0
PRV51037,431,202,297.51740139211137,128230,3300,579.1863651940712,80.0,2.2273781902552203,960,1.3735498839907192,592,20,4.686660552724004,2,2,1,2.133663366336634,216.60472972972974,634.8019801980198,872,0
PRV51038,111,83,323.3333333333333,35890,3300,631.6620692244942,90.0,1.981981981981982,220,1.1711711711711712,130,20,3.8585769253205116,43,14,21,1.3373493975903614,276.0769230769231,432.4096385542169,226,0
