Provider,IP_NumClaims,IP_NumBeneficiaries,IP_AvgReimbursement,IP_TotalReimbursement,IP_MaxReimbursement,IP_StdReimbursement,IP_MedianReimbursement,IP_AvgDeductible,IP_TotalDeductible,IP_AvgClaimDuration,IP_TotalClaimDuration,IP_MaxClaimDuration,IP_StdClaimDuration,IP_AvgAdmissionDuration,IP_TotalAdmissionDuration,IP_MaxAdmissionDuration,IP_StdAdmissionDuration,IP_NumAttendingPhysicians,IP_NumOperatingPhysicians,IP_NumOtherPhysicians,IP_ClaimsPerBeneficiary,IP_ReimbursementPerDay,IP_ReimbursementPerBeneficiary,IP_TotalPhysicians,IP_TotalUniqueDiagnoses,IP_TotalUniqueProcedures,OP_NumClaims,OP_NumBeneficiaries,OP_AvgReimbursement,OP_TotalReimbursement,OP_MaxReimbursement,OP_StdReimbursement,OP_MedianReimbursement,OP_AvgDeductible,OP_TotalDeductible,OP_AvgClaimDuration,OP_TotalClaimDuration,OP_MaxClaimDuration,OP_StdClaimDuration,OP_NumAttendingPhysicians,OP_NumOperatingPhysicians,OP_NumOtherPhysicians,OP_ClaimsPerBeneficiary,OP_ReimbursementPerDay,OP_ReimbursementPerBeneficiary,OP_TotalUniqueDiagnoses,OP_TotalUniqueProcedures,PotentialFraud
PRV51001,5.0,5.0,19400.0,97000.0,42000.0,18352.11159512714,12000.0,1068.0,5340.0,5.0,25.0,14.0,5.385164807134505,5.0,25.0,14.0,5.385164807134505,4.0,2.0,1.0,1.0,3880.0,19400.0,7.0,36.0,3.0,20.0,19.0,382.0,7640.0,1500.0,422.817616522899,150.0,0.0,0.0,0.55,11.0,9.0,2.0124611797498106,10.0,3.0,7.0,1.0526315789473684,694.5454545454545,402.10526315789474,43.0,0.0,0
PRV51003,62.0,53.0,9241.935483870968,573000.0,57000.0,8513.606243799273,7000.0,1068.0,66216.0,5.161290322580645,320.0,27.0,4.447115655347403,5.161290322580645,320.0,27.0,4.447115655347403,2.0,2.0,0.0,1.169811320754717,1790.625,10811.32075471698,4.0,418.0,39.0,70.0,66.0,466.7142857142857,32670.0,3300.0,821.3645793779573,90.0,1.0,70.0,2.357142857142857,165.0,20.0,6.043407509602687,44.0,5.0,22.0,1.0606060606060606,198.0,495.0,163.0,0.0,1
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,350.13422818791946,52170.0,3300.0,689.9637540197714,70.0,2.0805369127516777,310.0,1.429530201342282,213.0,20.0,4.783495037919234,38.0,19.0,26.0,1.0797101449275361,244.92957746478874,378.04347826086956,332.0,0.0,0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,241.1244635193133,280910.0,4080.0,491.556391867259,70.0,3.1759656652360513,3700.0,1.088412017167382,1268.0,20.0,4.1074374711292805,6.0,6.0,4.0,2.3535353535353534,221.5378548895899,567.4949494949495,1873.0,0.0,1
PRV51007,3.0,3.0,6333.333333333333,19000.0,10000.0,3511.884584284246,6000.0,1068.0,3204.0,5.333333333333333,16.0,7.0,1.5275252316519468,5.333333333333333,16.0,7.0,1.5275252316519468,2.0,1.0,0.0,1.0,1187.5,6333.333333333333,3.0,22.0,1.0,69.0,56.0,213.18840579710144,14710.0,3300.0,447.2316571506486,70.0,0.8695652173913043,60.0,0.7681159420289855,53.0,20.0,3.3831108532212313,8.0,4.0,7.0,1.2321428571428572,277.54716981132077,262.67857142857144,180.0,0.0,0
PRV51008,2.0,2.0,12500.0,25000.0,21000.0,12020.815280171308,12500.0,1068.0,2136.0,4.0,8.0,5.0,1.4142135623730951,4.0,8.0,5.0,1.4142135623730951,2.0,2.0,0.0,1.0,3125.0,12500.0,4.0,15.0,2.0,41.0,34.0,259.2682926829268,10630.0,1900.0,404.0383041488916,90.0,4.390243902439025,180.0,1.4146341463414633,58.0,20.0,4.483166346211668,8.0,3.0,5.0,1.2058823529411764,183.27586206896552,312.6470588235294,108.0,0.0,0
PRV51011,1.0,1.0,5000.0,5000.0,5000.0,0.0,5000.0,1068.0,1068.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,1000.0,5000.0,1.0,8.0,0.0,57.0,52.0,204.03508771929825,11630.0,1600.0,310.7873621322992,70.0,5.2631578947368425,300.0,0.47368421052631576,27.0,17.0,2.353608651456424,27.0,10.0,15.0,1.0961538461538463,430.74074074074076,223.65384615384616,128.0,0.0,0
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,351.875,16890.0,3300.0,707.8936578689371,60.0,2.0833333333333335,100.0,3.7083333333333335,178.0,20.0,7.237486143251596,14.0,3.0,13.0,1.5483870967741935,94.88764044943821,544.8387096774194,118.0,0.0,0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,323.4782608695652,14880.0,1800.0,471.622341339171,90.0,5.0,230.0,1.4565217391304348,67.0,20.0,4.415661630248658,9.0,5.0,4.0,1.0454545454545454,222.08955223880596,338.1818181818182,111.0,0.0,0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,349.3333333333333,10480.0,3300.0,822.984196996362,80.0,4.0,120.0,0.4666666666666667,14.0,9.0,1.6760654528683694,7.0,6.0,8.0,1.2,748.5714285714286,419.2,105.0,0.0,0
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,700.0,200.0,74.01737247816507,65.0,0.0,0.0,0.375,3.0,3.0,1.0606601717798212,3.0,1.0,4.0,1.1428571428571428,233.33333333333334,100.0,23.0,0.0,0
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,28.333333333333332,170.0,90.0,37.638632635454044,10.0,0.0,0.0,0.3333333333333333,2.0,2.0,0.816496580927726,3.0,1.0,0.0,1.0,85.0,28.333333333333332,21.0,0.0,0
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,277.126213592233,142720.0,3300.0,570.1818038894332,80.0,2.0388349514563107,1050.0,1.3572815533980582,699.0,20.0,4.521943943866221,113.0,46.0,69.0,1.2261904761904763,204.1773962804006,339.8095238095238,1012.0,2.0,0
PRV51021,29.0,23.0,9275.862068965518,269000.0,57000.0,10277.911654625932,7000.0,1068.0,30972.0,4.793103448275862,139.0,17.0,3.4576964911094414,4.758620689655173,138.0,17.0,3.429443649317242,7.0,7.0,1.0,1.2608695652173914,1949.2753623188405,11695.652173913044,15.0,218.0,18.0,228.0,187.0,350.13157894736844,79830.0,3300.0,631.2399379496628,85.0,2.280701754385965,520.0,1.644736842105263,375.0,20.0,5.089604021280873,67.0,23.0,41.0,1.2192513368983957,212.88,426.8983957219251,529.0,0.0,1
PRV51023,9.0,9.0,6000.0,54000.0,13000.0,3741.657386773941,4000.0,1068.0,8544.0,3.5555555555555554,32.0,10.0,2.8771127502720115,3.5555555555555554,32.0,10.0,2.8771127502720115,4.0,4.0,1.0,1.0,1687.5,6000.0,9.0,72.0,5.0,27.0,27.0,430.0,11610.0,2200.0,668.511549868581,70.0,2.962962962962963,80.0,3.7037037037037037,100.0,20.0,7.916947813271391,10.0,5.0,6.0,1.0,116.1,430.0,86.0,0.0,0
PRV51024,9.0,9.0,6777.777777777777,61000.0,13000.0,3767.5515184857713,7000.0,1068.0,9612.0,4.333333333333333,39.0,10.0,3.122498999199199,4.333333333333333,39.0,10.0,3.122498999199199,1.0,1.0,1.0,1.0,1564.1025641025642,6777.777777777777,3.0,61.0,7.0,30.0,29.0,101.66666666666667,3050.0,400.0,116.68062313894262,60.0,3.0,90.0,0.8333333333333334,25.0,20.0,3.667972599203236,12.0,5.0,8.0,1.0344827586206897,122.0,105.17241379310344,71.0,0.0,0
PRV51025,13.0,12.0,6615.384615384615,86000.0,17000.0,5252.593986759645,4000.0,1068.0,13884.0,7.0,91.0,28.0,7.302967433402215,7.0,91.0,28.0,7.302967433402215,2.0,2.0,0.0,1.0833333333333333,945.054945054945,7166.666666666667,4.0,98.0,11.0,74.0,66.0,437.1621621621622,32350.0,3300.0,810.343272890291,100.0,5.405405405405405,400.0,1.3243243243243243,98.0,20.0,4.684887121951565,34.0,13.0,20.0,1.121212121212121,330.1020408163265,490.1515151515151,195.0,0.0,0
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,261.05263157894734,19840.0,3300.0,668.7831316600191,65.0,4.473684210526316,340.0,1.0921052631578947,83.0,20.0,4.342587958284622,29.0,10.0,18.0,1.3571428571428572,239.03614457831324,354.2857142857143,164.0,0.0,0
